student_id,student_name,subject,topic,quiz_score,assignment_score,attempts,mastery_level,attendance,final_exam_score
1,Joseph Adebayo,Mathematics,Calculus,70.96,65.93,2,Low,81.48,63.9
2,Nnamdi Adebayo,English,Grammar,62.19,64.49,4,Low,90.79,61.46
3,Tunde Sule,Physics,Thermodynamics,59.37,76.14,1,Medium,70.37,55.38
4,Ifeoma Musa,English,Comprehension,67.9,39.3,2,Medium,57.75,46.01
5,Yusuf Okafor,Physics,Thermodynamics,52.85,72.71,4,Medium,65.92,51.49
6,Ibrahim Sule,Chemistry,Organic,82.59,64.61,1,Medium,75.68,54.89
7,Funke Danladi,English,Comprehension,58.47,69.66,1,Medium,63.49,56.34
8,Maryam Adebayo,Biology,Genetics,57.79,63.62,3,High,68.98,68.53
9,Peace Danladi,English,Grammar,64.84,52.13,1,Low,83.23,42.97
10,Zainab Onyekachi,Mathematics,Geometry,67.51,38.6,1,Medium,61.72,48.58
11,David Musa,Chemistry,Organic,73.86,70.57,3,Medium,73.84,62.4
12,Ngozi Ahmed,Mathematics,Geometry,47.26,57.2,2,Low,70.39,50.18
13,Abdul Ahmed,English,Grammar,69.12,41.55,3,High,78.24,55.51
14,Emeka Balogun,Physics,Mechanics,56.88,77.18,3,Medium,85.31,67.17
15,Tunde Sule,English,Vocabulary,54.93,63.36,3,Low,78.31,56.61
16,Esther Ibrahim,Biology,Genetics,59.25,65.22,3,Low,63.94,45.45
17,Nnamdi Bashir,English,Comprehension,74.75,88.34,4,High,74.28,79.09
18,Abdul Danladi,Physics,Mechanics,69.34,58.32,4,Low,78.61,63.78
19,Amina Adebayo,Physics,Thermodynamics,64.57,91.47,2,Medium,48.8,66.24
20,Halima Ibrahim,Mathematics,Probability,66.04,63.51,4,Medium,75.92,51.32
21,David Kabiru,Chemistry,Physical,62.36,73.36,1,Medium,89.78,58.09
22,Sola Sule,English,Comprehension,55.3,60.47,3,Low,84.15,53.5
23,Halima Okoye,Biology,Genetics,58.64,75.7,3,High,75.97,69.04
24,Emeka Okoye,English,Grammar,56.58,63.09,3,High,71.08,51.75
25,Musa Ibrahim,Physics,Mechanics,68.55,71.92,3,Medium,75.05,61.73
26,Maryam Kabiru,Mathematics,Calculus,48.02,61.69,4,Low,71.57,45.64
27,Ifeanyi Danladi,Chemistry,Organic,63.06,74.06,1,Low,93.86,57.59
28,Daniel Abdullahi,Mathematics,Probability,68.09,66.88,1,High,55.81,58.23
